"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://knightlogics.com/","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Indexable",""
"https://knightlogics.com/case-study-screen-team","1","Growth System Case Study — Screen Team LLC | Knight Logics","58","563","Indexable",""
"https://knightlogics.com/pricing","1","Redirecting to Pricing | Knight Logics","38","327","Non-Indexable","noindex"
"https://knightlogics.com/pixelforge-ai","1","PixelForge AI | Knight Logics","29","254","Indexable",""
"https://knightlogics.com/service-desktop-apps","1","Custom Desktop Applications & Software — Tampa Bay | Knight Logics","66","628","Indexable",""
"https://knightlogics.com/case-study-jns","1","Local Launch Plus Case Study — JNSBuilds.com | Knight Logics","60","564","Indexable",""
"https://knightlogics.com/case-study-knight-group","1","Growth System Case Study — KnightGroup.com | Knight Logics","58","560","Indexable",""
"https://knightlogics.com/service-websites","1","Custom Website Design & Local SEO — Tampa Bay | Knight Logics","61","588","Indexable",""
"https://knightlogics.com/book-consultation","1","Book a Consultation | Knight Logics","35","314","Indexable",""
"https://knightlogics.com/videoforge","1","VideoForge Studio | Knight Logics","33","300","Indexable",""
"https://knightlogics.com/service-ai-automation","1","Business Automation & API Integration — Tampa Bay | Knight Logics","65","607","Indexable",""
"https://knightlogics.com/contact","1","Contact Knight Logics | Tampa Bay Web Design, SEO & Automation","62","595","Indexable",""
"https://knightlogics.com/case-study-moms-resin-tables","1","E-Commerce Launch Case Study — Mom's Resin Tables | Knight Logics","65","631","Indexable",""
"https://knightlogics.com/display-control-plus","1","Display Control+ | Knight Logics","32","281","Indexable",""
"https://knightlogics.com/service-ecommerce","1","E-Commerce Development — Tampa Bay Shopify, Firebase & Stripe | Knight Logics","77","734","Indexable",""
"https://knightlogics.com/auto-vid-compiler","1","Auto Vid Compiler | Knight Logics","33","298","Indexable",""
"https://knightlogics.com/case-study-sals-painting","1","Search-Ready Starter Case Study — Sal's Painting | Knight Logics","64","576","Indexable",""
"https://knightlogics.com/case-study-farrell-electric","1","Preview Launch Site Case Study — Farrell Electric | Knight Logics","65","577","Indexable",""
"https://knightlogics.com/?openPackage=ecommerce-growth-store","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-launch-plus","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-pro","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-growth-management","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-growth-system-starter","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-custom-automation-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-standard","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-launch","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation-plus","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-essential","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-seo-starter","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-payment-links","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-local-seo-starter","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-simple-lead-tracker","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-job-records-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-advanced-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-plus","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-preview-launch","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-preview-catalog","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-automated-job-records","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-contractor-crm-starter","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-full-growth-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
