"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://knightlogics.com/","0","","","","https://knightlogics.com/","","Indexable",""
"https://knightlogics.com/style.min.css?v=20260428m","0","","","","","","Indexable",""
"https://knightlogics.com/case-study-screen-team","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-screen-team","","Indexable",""
"https://knightlogics.com/images/ManCavesLogo.webp","0","","","","","","Indexable",""
"https://knightlogics.com/pricing","1","noindex,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","0; url=https://knightlogics.com/pricing","https://knightlogics.com/pricing","","Non-Indexable","noindex"
"https://knightlogics.com/images/videoforge-app-icon.webp","0","","","","","","Indexable",""
"https://knightlogics.com/images/KnightGroup-HomeImage.webp","0","","","","","","Indexable",""
"https://knightlogics.com/images/upwork-icon.svg","0","","","","","","Indexable",""
"https://knightlogics.com/images/JNS-HomeImage.webp","0","","","","","","Indexable",""
"https://knightlogics.com/pixelforge-ai","0","","","","https://knightlogics.com/pixelforge-ai","","Indexable",""
"https://knightlogics.com/service-desktop-apps","0","","","","https://knightlogics.com/service-desktop-apps","","Indexable",""
"https://knightlogics.com/images/B-Magic's%20Auto%20Vid%20Compiler.png","0","","","","","","Indexable",""
"https://knightlogics.com/case-study-jns","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-jns","","Indexable",""
"https://knightlogics.com/images/aboutimg.webp","0","","","","","","Indexable",""
"https://knightlogics.com/case-study-knight-group","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-group","","Indexable",""
"https://knightlogics.com/service-websites","0","","","","https://knightlogics.com/service-websites","","Indexable",""
"https://knightlogics.com/images/Display-Control-Plus-Logo.webp","0","","","","","","Indexable",""
"https://knightlogics.com/book-consultation","0","","","","https://knightlogics.com/book-consultation","","Indexable",""
"https://knightlogics.com/videoforge","0","","","","https://knightlogics.com/videoforge","","Indexable",""
"https://knightlogics.com/service-ai-automation","0","","","","https://knightlogics.com/service-ai-automation","","Indexable",""
"https://knightlogics.com/images/youtube-icon.webp","0","","","","","","Indexable",""
"https://knightlogics.com/images/GithubIcon.webp","0","","","","","","Indexable",""
"https://knightlogics.com/contact","0","","","","https://knightlogics.com/contact","","Indexable",""
"https://knightlogics.com/images/pixelforge_logo.webp","0","","","","","","Indexable",""
"https://knightlogics.com/images/linkedin-icon.webp","0","","","","","","Indexable",""
"https://knightlogics.com/case-study-moms-resin-tables","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-moms-resin-tables","","Indexable",""
"https://knightlogics.com/script.min.js?v=20260512a","0","","","","","","Indexable",""
"https://knightlogics.com/display-control-plus","0","","","","https://knightlogics.com/display-control-plus","","Indexable",""
"https://knightlogics.com/service-ecommerce","0","","","","https://knightlogics.com/service-ecommerce","","Indexable",""
"https://knightlogics.com/images/discord-icon.webp","0","","","","","","Indexable",""
"https://knightlogics.com/images/Knight%20Group%20Logo.webp","0","","","","","","Indexable",""
"https://knightlogics.com/auto-vid-compiler","0","","","","https://knightlogics.com/auto-vid-compiler","","Indexable",""
"https://knightlogics.com/images/B-Magic%27s%20Auto%20Vid%20Compiler.webp","0","","","","","","Indexable",""
"https://knightlogics.com/script.js","0","","","","","","Indexable",""
"https://knightlogics.com/style.css","0","","","","","","Indexable",""
"https://knightlogics.com/images/ai-orchestrator-logo.png","0","","","","","","Indexable",""
"https://knightlogics.com/case-study-sals-painting","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-sals-painting","","Indexable",""
"https://knightlogics.com/images/JNS%20-%20HomeImage.png","0","","","","","","Indexable",""
"https://knightlogics.com/case-study-farrell-electric","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-farrell-electric","","Indexable",""
"https://knightlogics.com/images/momhero.png","0","","","","","","Indexable",""
"https://knightlogics.com/projects-script.js","0","","","","","","Indexable",""
"https://knightlogics.com/?openPackage=ecommerce-growth-store","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-launch-plus","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-pro","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-growth-management","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-growth-system-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-custom-automation-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-standard","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/style.css?v=20260507a","0","","","","","","Indexable",""
"https://knightlogics.com/?openPackage=ecommerce-launch","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation-plus","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-essential","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-seo-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-payment-links","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-local-seo-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-simple-lead-tracker","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-job-records-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-advanced-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-plus","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-preview-launch","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-preview-catalog","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-automated-job-records","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-contractor-crm-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-full-growth-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"https://knightlogics.com/pricing/package-checkout.js?v=20260509f","0","","","","","","Indexable",""
"https://knightlogics.com/script.js?v=20260512a","0","","","","","","Indexable",""
"https://knightlogics.com/style.css?v=20260428l","0","","","","","","Indexable",""
"https://knightlogics.com/images/B-Magic's%20Auto%20Vid%20Compiler.webp","0","","","","","","Indexable",""
